Time,Power,Meter,"USB Current","Battery Cell 1","Battery Cell 2","Battery Cell 3"
4.093,,,0.055,4.2,4.2,4.2
4.187,,,0.068,4.2,4.2,4.2
4.281,,,0.063,4.2,4.2,4.2
4.39,,,0.066,4.2,4.2,4.2
4.484,,,0.063,4.2,4.2,4.2
4.578,,,0.057,4.2,4.2,4.2
4.687,,,0.065,4.2,4.2,4.2
4.781,,,0.07,4.2,4.2,4.2
4.875,,,0.072,4.2,4.2,4.2
4.984,,,0.059,4.2,4.2,4.2
5.078,,,0.065,4.2,4.2,4.2
5.171,,,0.057,4.2,4.2,4.2
5.265,,,0.065,4.2,4.2,4.2
5.406,,,0.056,4.2,4.2,4.2
5.5,,,0.062,4.2,4.2,4.2
5.593,,,0.064,4.2,4.2,4.2
5.718,,,0.066,4.2,4.2,4.2
5.812,,,0.06,4.2,4.2,4.2
5.906,,,0.065,4.2,4.2,4.2
6.015,,,0.068,4.2,4.2,4.2
6.109,,,0.072,4.2,4.2,4.2
6.218,,,0.069,4.2,4.2,4.2
6.343,,,0.076,4.2,4.2,4.2
6.437,,,0.069,4.2,4.2,4.2
6.531,,,0.072,4.2,4.2,4.2
6.656,,,0.069,4.2,4.2,4.2
6.765,,,0.075,4.2,4.2,4.2
6.875,,,0.077,4.2,4.2,4.2
6.968,,,0.077,4.2,4.2,4.2
7.062,,,0.073,4.2,4.2,4.2
7.156,,,0.073,4.2,4.2,4.2
7.25,,,0.066,4.2,4.2,4.2
7.343,,,0.082,4.2,4.2,4.2
7.453,,,0.075,4.2,4.2,4.2
7.562,,,0.081,4.2,4.2,4.2
7.671,,,0.083,4.2,4.2,4.2
7.781,,,0.074,4.2,4.2,4.2
7.906,,,0.079,4.2,4.2,4.2
8,,,0.084,4.2,4.2,4.2
8.109,,,0.082,4.2,4.2,4.2
8.218,,,0.073,4.2,4.2,4.2
8.343,,,0.082,4.2,4.2,4.2
8.453,,,0.081,4.2,4.2,4.2
8.562,,,0.083,4.2,4.2,4.2
8.656,,,0.085,4.2,4.2,4.2
8.765,,,0.077,4.2,4.2,4.2
8.875,,,0.079,4.2,4.2,4.2
8.984,,,0.082,4.2,4.2,4.2
9.078,,,0.079,4.2,4.2,4.2
9.171,,,0.092,4.2,4.2,4.2
9.265,,,0.09,4.2,4.2,4.2
9.375,,,0.076,4.2,4.2,4.2
9.468,,,0.077,4.2,4.2,4.2
9.593,,,0.079,4.2,4.2,4.2
9.703,,,0.082,4.2,4.2,4.2
9.828,,,0.09,4.2,4.2,4.2
9.953,,,0.09,4.2,4.2,4.2
10.062,,,0.092,4.2,4.2,4.2
10.187,,,0.087,4.2,4.2,4.2
10.296,,,0.089,4.2,4.2,4.2
10.406,,,0.08,4.2,4.2,4.2
10.515,,,0.093,4.2,4.2,4.2
10.625,,,0.09,4.2,4.2,4.2
10.765,,,0.081,4.2,4.2,4.2
10.859,,,0.082,4.2,4.2,4.2
10.953,,,0.083,4.2,4.2,4.2
11.046,,,0.084,4.2,4.2,4.2
11.14,,,0.093,4.2,4.2,4.2
11.234,,,0.094,4.2,4.2,4.2
11.328,,,0.085,4.2,4.2,4.2
11.437,,,0.084,4.2,4.2,4.2
11.531,,,0.093,4.2,4.2,4.2
11.656,,,0.093,4.2,4.2,4.2
11.796,,,0.097,4.2,4.2,4.2
11.906,,,0.084,4.2,4.2,4.2
12.015,,,0.084,4.2,4.2,4.2
12.14,,,0.086,4.2,4.2,4.2
12.25,,,0.089,4.2,4.2,4.2
12.359,,,0.097,4.2,4.2,4.2
12.468,,,0.086,4.2,4.2,4.2
12.562,,,0.096,4.2,4.2,4.2
12.703,,,0.089,4.2,4.2,4.2
12.796,,,0.092,4.2,4.2,4.2
12.89,,,0.091,4.2,4.2,4.2
13,,,0.09,4.2,4.2,4.2
13.093,,,0.089,4.2,4.2,4.2
13.187,,,0.094,4.2,4.2,4.2
13.281,,,0.096,4.2,4.2,4.2
13.375,,,0.095,4.2,4.2,4.2
13.468,,,0.086,4.2,4.2,4.2
13.578,,,0.097,4.2,4.2,4.2
13.687,,,0.099,4.2,4.21,4.2
13.812,,,0.1,4.2,4.21,4.2
13.937,,,0.092,4.2,4.21,4.2
14.031,,,0.091,4.2,4.21,4.2
14.125,,,0.098,4.2,4.21,4.2
14.218,,,0.109,4.2,4.21,4.2
14.328,,,0.09,4.2,4.2,4.2
14.437,,,0.098,4.2,4.2,4.2
14.531,,,0.099,4.2,4.2,4.2
14.64,,,0.093,4.2,4.2,4.2
14.765,,,0.087,4.2,4.2,4.2
